ticker,name,asset_type,exchange,sector,industry,theme,decision_bucket,decision_subtype,confidence,main_reason,primary_blocker,supporting_features,blocked_features,excluded_features,missing_data,next_action,next_best_action,data_readiness_score,readiness_score,data_confidence,analysis_score,decision_score,feature_summary,updated_at,Reason
AARD,"Aardvark Therapeutics, Inc. - Common Stock",company,NASDAQ,,,,Blocked by Data,Blocked by Data - Missing Fundamentals,0.259,Company research is blocked by missing dcf data.,fundamentals,"price, momentum, market_direction, liquidity, correlation","dcf, peer, earnings, analyst_estimates",portfolio,"dcf: revenue, fcf_margin; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input","Import trusted fundamentals for AARD. If SEC_USER_AGENT is configured, use SEC staging; otherwise use the manual fundamentals import workflow.","Import trusted fundamentals for AARD. If SEC_USER_AGENT is configured, use SEC staging; otherwise use the manual fundamentals import workflow.",0.392,0.392,low,0.1,25.9,"ready: price, momentum, market_direction, liquidity, correlation; partial: fundamentals; blocked: dcf, peer, earnings, analyst_estimates; excluded: portfolio",2026-05-28T04:09:14.325472+00:00,Company research is blocked by missing dcf data.
ABAT,American Battery Technology Company - Common Stock,company,NASDAQ,,,,Blocked by Data,Blocked by Data - Missing Fundamentals,0.259,Company research is blocked by missing dcf data.,fundamentals,"price, momentum, market_direction, liquidity, correlation","dcf, peer, earnings, analyst_estimates",portfolio,dcf: fcf_margin; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input,"Import trusted fundamentals for ABAT. If SEC_USER_AGENT is configured, use SEC staging; otherwise use the manual fundamentals import workflow.","Import trusted fundamentals for ABAT. If SEC_USER_AGENT is configured, use SEC staging; otherwise use the manual fundamentals import workflow.",0.392,0.392,low,0.0,25.9,"ready: price, momentum, market_direction, liquidity, correlation; partial: fundamentals; blocked: dcf, peer, earnings, analyst_estimates; excluded: portfolio",2026-05-28T04:09:14.325611+00:00,Company research is blocked by missing dcf data.
ABBV,AbbVie,company,,,,,Research Now,Research Candidate - DCF Ready But Peer Blocked,0.61,Core data is ready for a supported research pass.,peers,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf","peer, earnings, analyst_estimates",portfolio,peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input,Add source-backed peer mappings and peer metrics for ABBV.,Add source-backed peer mappings and peer metrics for ABBV.,0.553,0.553,medium,0.68,61.0,"ready: price, momentum, market_direction, liquidity, correlation, fundamentals, dcf; partial: -; blocked: peer, earnings, analyst_estimates; excluded: portfolio",2026-05-28T04:09:14.325750+00:00,Core data is ready for a supported research pass.
ABCL,AbCellera Biologics Inc. - Common Shares,company,NASDAQ,,,,Blocked by Data,Blocked by Data - Missing Fundamentals,0.259,Company research is blocked by missing dcf data.,fundamentals,"price, momentum, market_direction, liquidity, correlation","dcf, peer, earnings, analyst_estimates",portfolio,"dcf: revenue, fcf_margin; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input","Import trusted fundamentals for ABCL. If SEC_USER_AGENT is configured, use SEC staging; otherwise use the manual fundamentals import workflow.","Import trusted fundamentals for ABCL. If SEC_USER_AGENT is configured, use SEC staging; otherwise use the manual fundamentals import workflow.",0.392,0.392,low,0.5,25.9,"ready: price, momentum, market_direction, liquidity, correlation; partial: fundamentals; blocked: dcf, peer, earnings, analyst_estimates; excluded: portfolio",2026-05-28T04:09:14.325883+00:00,Company research is blocked by missing dcf data.
ABEO,Abeona Therapeutics Inc. - Common Stock,company,NASDAQ,,,,Research Now,Research Candidate - DCF Ready But Peer Blocked,0.61,Core data is ready for a supported research pass.,peers,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf","peer, earnings, analyst_estimates",portfolio,peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input,Add source-backed peer mappings and peer metrics for ABEO.,Add source-backed peer mappings and peer metrics for ABEO.,0.553,0.553,medium,0.68,61.0,"ready: price, momentum, market_direction, liquidity, correlation, fundamentals, dcf; partial: -; blocked: peer, earnings, analyst_estimates; excluded: portfolio",2026-05-28T04:09:14.326006+00:00,Core data is ready for a supported research pass.
ABLV,Able View Global Inc. - Class B Ordinary Shares,company,NASDAQ,,,,Blocked by Data,Blocked by Data - Missing Fundamentals,0.259,Company research is blocked by missing dcf data.,fundamentals,"price, momentum, market_direction, liquidity, correlation","dcf, peer, earnings, analyst_estimates",portfolio,dcf: shares_outstanding; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input,"Import trusted fundamentals for ABLV. If SEC_USER_AGENT is configured, use SEC staging; otherwise use the manual fundamentals import workflow.","Import trusted fundamentals for ABLV. If SEC_USER_AGENT is configured, use SEC staging; otherwise use the manual fundamentals import workflow.",0.392,0.392,low,0.5,25.9,"ready: price, momentum, market_direction, liquidity, correlation; partial: fundamentals; blocked: dcf, peer, earnings, analyst_estimates; excluded: portfolio",2026-05-28T04:09:14.326126+00:00,Company research is blocked by missing dcf data.
ABNB,Airbnb,company,NASDAQ,,,,Blocked by Data,Blocked by Data - Missing Fundamentals,0.259,Company research is blocked by missing dcf data.,fundamentals,"price, momentum, market_direction, liquidity, correlation","dcf, peer, earnings, analyst_estimates",portfolio,"dcf: shares_outstanding, revenue, fcf_margin; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input","Import trusted fundamentals for ABNB. If SEC_USER_AGENT is configured, use SEC staging; otherwise use the manual fundamentals import workflow.","Import trusted fundamentals for ABNB. If SEC_USER_AGENT is configured, use SEC staging; otherwise use the manual fundamentals import workflow.",0.392,0.392,low,0.1,25.9,"ready: price, momentum, market_direction, liquidity, correlation; partial: fundamentals; blocked: dcf, peer, earnings, analyst_estimates; excluded: portfolio",2026-05-28T04:09:14.326248+00:00,Company research is blocked by missing dcf data.
ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",company,NASDAQ,,,,Blocked by Data,Blocked by Data - Missing Fundamentals,0.259,Company research is blocked by missing dcf data.,fundamentals,"price, momentum, market_direction, liquidity, correlation","dcf, peer, earnings, analyst_estimates",portfolio,"dcf: revenue, fcf_margin; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input","Import trusted fundamentals for ABOS. If SEC_USER_AGENT is configured, use SEC staging; otherwise use the manual fundamentals import workflow.","Import trusted fundamentals for ABOS. If SEC_USER_AGENT is configured, use SEC staging; otherwise use the manual fundamentals import workflow.",0.392,0.392,low,0.1,25.9,"ready: price, momentum, market_direction, liquidity, correlation; partial: fundamentals; blocked: dcf, peer, earnings, analyst_estimates; excluded: portfolio",2026-05-28T04:09:14.326366+00:00,Company research is blocked by missing dcf data.
ABSI,Absci Corporation - Common Stock,company,NASDAQ,,,,Research Now,Research Candidate - DCF Ready But Peer Blocked,0.61,Core data is ready for a supported research pass.,peers,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf","peer, earnings, analyst_estimates",portfolio,peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input,Add source-backed peer mappings and peer metrics for ABSI.,Add source-backed peer mappings and peer metrics for ABSI.,0.553,0.553,medium,0.68,61.0,"ready: price, momentum, market_direction, liquidity, correlation, fundamentals, dcf; partial: -; blocked: peer, earnings, analyst_estimates; excluded: portfolio",2026-05-28T04:09:14.326488+00:00,Core data is ready for a supported research pass.
ABT,Abbott Laboratories,company,,,,,Research Now,Research Candidate - DCF Ready But Peer Blocked,0.349,Core data is ready for a supported research pass.,peers,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf","peer, earnings, analyst_estimates",portfolio,peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input,Add source-backed peer mappings and peer metrics for ABT.,Add source-backed peer mappings and peer metrics for ABT.,0.553,0.553,medium,0.1,34.9,"ready: price, momentum, market_direction, liquidity, correlation, fundamentals, dcf; partial: -; blocked: peer, earnings, analyst_estimates; excluded: portfolio",2026-05-28T04:09:14.326616+00:00,Core data is ready for a supported research pass.
ABTC,American Bitcoin Corp. - Class A Common Stock,company,NASDAQ,,,,Research Now,Research Candidate - DCF Ready But Peer Blocked,0.349,Core data is ready for a supported research pass.,peers,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf","peer, earnings, analyst_estimates",portfolio,peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input,Add source-backed peer mappings and peer metrics for ABTC.,Add source-backed peer mappings and peer metrics for ABTC.,0.553,0.553,medium,0.1,34.9,"ready: price, momentum, market_direction, liquidity, correlation, fundamentals, dcf; partial: -; blocked: peer, earnings, analyst_estimates; excluded: portfolio",2026-05-28T04:09:14.326740+00:00,Core data is ready for a supported research pass.
ABTS,Abits Group Inc - Ordinary Shares,company,NASDAQ,,,,Blocked by Data,Blocked by Data - Missing Fundamentals,0.259,Company research is blocked by missing dcf data.,fundamentals,"price, momentum, market_direction, liquidity, correlation","dcf, peer, earnings, analyst_estimates",portfolio,"dcf: revenue, fcf_margin; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input","Import trusted fundamentals for ABTS. If SEC_USER_AGENT is configured, use SEC staging; otherwise use the manual fundamentals import workflow.","Import trusted fundamentals for ABTS. If SEC_USER_AGENT is configured, use SEC staging; otherwise use the manual fundamentals import workflow.",0.392,0.392,low,0.1,25.9,"ready: price, momentum, market_direction, liquidity, correlation; partial: fundamentals; blocked: dcf, peer, earnings, analyst_estimates; excluded: portfolio",2026-05-28T04:09:14.326865+00:00,Company research is blocked by missing dcf data.
ABUS,Arbutus Biopharma Corporation - Common Stock,company,NASDAQ,,,,Research Now,Research Candidate - DCF Ready But Peer Blocked,0.304,Core data is ready for a supported research pass.,peers,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf","peer, earnings, analyst_estimates",portfolio,peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input,Add source-backed peer mappings and peer metrics for ABUS.,Add source-backed peer mappings and peer metrics for ABUS.,0.553,0.553,medium,0.0,30.4,"ready: price, momentum, market_direction, liquidity, correlation, fundamentals, dcf; partial: -; blocked: peer, earnings, analyst_estimates; excluded: portfolio",2026-05-28T04:09:14.327973+00:00,Core data is ready for a supported research pass.
ABVC,"ABVC BioPharma, Inc. - Common Stock",company,NASDAQ,,,,Research Now,Research Candidate - DCF Ready But Peer Blocked,0.574,Core data is ready for a supported research pass.,peers,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf","peer, earnings, analyst_estimates",portfolio,peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input,Add source-backed peer mappings and peer metrics for ABVC.,Add source-backed peer mappings and peer metrics for ABVC.,0.553,0.553,medium,0.6,57.4,"ready: price, momentum, market_direction, liquidity, correlation, fundamentals, dcf; partial: -; blocked: peer, earnings, analyst_estimates; excluded: portfolio",2026-05-28T04:09:14.328245+00:00,Core data is ready for a supported research pass.
ABVE,Above Food Ingredients Inc. - Common Stock,company,NASDAQ,,,,Blocked by Data,Blocked by Data - Missing Fundamentals,0.249,"Company research is blocked by missing dcf, fundamentals data.",fundamentals,"price, momentum, market_direction, liquidity, correlation","fundamentals, dcf, peer, earnings, analyst_estimates",portfolio,"dcf: free_cash_flow, shares_outstanding, revenue, fcf_margin; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input","Import trusted fundamentals for ABVE. If SEC_USER_AGENT is configured, use SEC staging; otherwise use the manual fundamentals import workflow.","Import trusted fundamentals for ABVE. If SEC_USER_AGENT is configured, use SEC staging; otherwise use the manual fundamentals import workflow.",0.325,0.325,low,0.1,24.9,"ready: price, momentum, market_direction, liquidity, correlation; partial: -; blocked: fundamentals, dcf, peer, earnings, analyst_estimates; excluded: portfolio",2026-05-28T04:09:14.328402+00:00,"Company research is blocked by missing dcf, fundamentals data."
ACAA,Averin Capital Acquisition Corp. - Class A Ordinary Shares,company,NASDAQ,,,,Blocked by Data,Blocked by Data - Missing Fundamentals,0.238,"Company research is blocked by missing dcf, fundamentals data.",fundamentals,"price, momentum, market_direction","fundamentals, dcf, peer, earnings, analyst_estimates",portfolio,"dcf: free_cash_flow, shares_outstanding, revenue, fcf_margin; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input","Import trusted fundamentals for ACAA. If SEC_USER_AGENT is configured, use SEC staging; otherwise use the manual fundamentals import workflow.","Import trusted fundamentals for ACAA. If SEC_USER_AGENT is configured, use SEC staging; otherwise use the manual fundamentals import workflow.",0.253,0.253,low,0.5,23.8,"ready: price, momentum, market_direction; partial: liquidity, correlation; blocked: fundamentals, dcf, peer, earnings, analyst_estimates; excluded: portfolio",2026-05-28T04:09:14.328821+00:00,"Company research is blocked by missing dcf, fundamentals data."
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,company,NASDAQ,,,,Research Now,Research Candidate - DCF Ready But Peer Blocked,0.349,Core data is ready for a supported research pass.,peers,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf","peer, earnings, analyst_estimates",portfolio,peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input,Add source-backed peer mappings and peer metrics for ACAD.,Add source-backed peer mappings and peer metrics for ACAD.,0.553,0.553,medium,0.1,34.9,"ready: price, momentum, market_direction, liquidity, correlation, fundamentals, dcf; partial: -; blocked: peer, earnings, analyst_estimates; excluded: portfolio",2026-05-28T04:09:14.329018+00:00,Core data is ready for a supported research pass.
ACB,Aurora Cannabis Inc. - Common Shares,company,NASDAQ,,,,Blocked by Data,Blocked by Data - Missing Fundamentals,0.259,Company research is blocked by missing dcf data.,fundamentals,"price, momentum, market_direction, liquidity, correlation","dcf, peer, earnings, analyst_estimates",portfolio,"dcf: free_cash_flow, revenue, fcf_margin; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input","Import trusted fundamentals for ACB. If SEC_USER_AGENT is configured, use SEC staging; otherwise use the manual fundamentals import workflow.","Import trusted fundamentals for ACB. If SEC_USER_AGENT is configured, use SEC staging; otherwise use the manual fundamentals import workflow.",0.392,0.392,low,0.5,25.9,"ready: price, momentum, market_direction, liquidity, correlation; partial: fundamentals; blocked: dcf, peer, earnings, analyst_estimates; excluded: portfolio",2026-05-28T04:09:14.329164+00:00,Company research is blocked by missing dcf data.
ACCL,Acco Group Holdings Limited - Class A Ordinary Shares,company,NASDAQ,,,,Blocked by Data,Blocked by Data - Missing Fundamentals,0.249,"Company research is blocked by missing dcf, fundamentals data.",fundamentals,"price, momentum, market_direction, liquidity, correlation","fundamentals, dcf, peer, earnings, analyst_estimates",portfolio,"dcf: free_cash_flow, shares_outstanding, revenue, fcf_margin; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input","Import trusted fundamentals for ACCL. If SEC_USER_AGENT is configured, use SEC staging; otherwise use the manual fundamentals import workflow.","Import trusted fundamentals for ACCL. If SEC_USER_AGENT is configured, use SEC staging; otherwise use the manual fundamentals import workflow.",0.325,0.325,low,0.1,24.9,"ready: price, momentum, market_direction, liquidity, correlation; partial: -; blocked: fundamentals, dcf, peer, earnings, analyst_estimates; excluded: portfolio",2026-05-28T04:09:14.329301+00:00,"Company research is blocked by missing dcf, fundamentals data."
ACDC,ProFrac Holding Corp. - Class A Common Stock,company,NASDAQ,,,,Blocked by Data,Blocked by Data - Missing Fundamentals,0.259,Company research is blocked by missing dcf data.,fundamentals,"price, momentum, market_direction, liquidity, correlation","dcf, peer, earnings, analyst_estimates",portfolio,"dcf: revenue, fcf_margin; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input","Import trusted fundamentals for ACDC. If SEC_USER_AGENT is configured, use SEC staging; otherwise use the manual fundamentals import workflow.","Import trusted fundamentals for ACDC. If SEC_USER_AGENT is configured, use SEC staging; otherwise use the manual fundamentals import workflow.",0.392,0.392,low,0.0,25.9,"ready: price, momentum, market_direction, liquidity, correlation; partial: fundamentals; blocked: dcf, peer, earnings, analyst_estimates; excluded: portfolio",2026-05-28T04:09:14.329437+00:00,Company research is blocked by missing dcf data.
ACET,"Adicet Bio, Inc. - Common Stock",company,NASDAQ,,,,Blocked by Data,Blocked by Data - Missing Fundamentals,0.249,"Company research is blocked by missing dcf, fundamentals data.",fundamentals,"price, momentum, market_direction, liquidity, correlation","fundamentals, dcf, peer, earnings, analyst_estimates",portfolio,"dcf: free_cash_flow, shares_outstanding, revenue, fcf_margin; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input","Import trusted fundamentals for ACET. If SEC_USER_AGENT is configured, use SEC staging; otherwise use the manual fundamentals import workflow.","Import trusted fundamentals for ACET. If SEC_USER_AGENT is configured, use SEC staging; otherwise use the manual fundamentals import workflow.",0.325,0.325,low,0.0,24.9,"ready: price, momentum, market_direction, liquidity, correlation; partial: -; blocked: fundamentals, dcf, peer, earnings, analyst_estimates; excluded: portfolio",2026-05-28T04:09:14.329570+00:00,"Company research is blocked by missing dcf, fundamentals data."
ACFN,"Acorn Energy, Inc. - Common Stock",company,NASDAQ,,,,Blocked by Data,Blocked by Data - Missing Fundamentals,0.249,"Company research is blocked by missing dcf, fundamentals data.",fundamentals,"price, momentum, market_direction, liquidity, correlation","fundamentals, dcf, peer, earnings, analyst_estimates",portfolio,"dcf: free_cash_flow, shares_outstanding, revenue, fcf_margin; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input","Import trusted fundamentals for ACFN. If SEC_USER_AGENT is configured, use SEC staging; otherwise use the manual fundamentals import workflow.","Import trusted fundamentals for ACFN. If SEC_USER_AGENT is configured, use SEC staging; otherwise use the manual fundamentals import workflow.",0.325,0.325,low,0.1,24.9,"ready: price, momentum, market_direction, liquidity, correlation; partial: -; blocked: fundamentals, dcf, peer, earnings, analyst_estimates; excluded: portfolio",2026-05-28T04:09:14.329699+00:00,"Company research is blocked by missing dcf, fundamentals data."
ACGL,Arch Capital Group,company,NASDAQ,,,,Blocked by Data,Blocked by Data - Missing Fundamentals,0.249,"Company research is blocked by missing dcf, fundamentals data.",fundamentals,"price, momentum, market_direction, liquidity, correlation","fundamentals, dcf, peer, earnings, analyst_estimates",portfolio,"dcf: free_cash_flow, shares_outstanding, revenue, fcf_margin; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input","Import trusted fundamentals for ACGL. If SEC_USER_AGENT is configured, use SEC staging; otherwise use the manual fundamentals import workflow.","Import trusted fundamentals for ACGL. If SEC_USER_AGENT is configured, use SEC staging; otherwise use the manual fundamentals import workflow.",0.325,0.325,low,0.1,24.9,"ready: price, momentum, market_direction, liquidity, correlation; partial: -; blocked: fundamentals, dcf, peer, earnings, analyst_estimates; excluded: portfolio",2026-05-28T04:09:14.329829+00:00,"Company research is blocked by missing dcf, fundamentals data."
